(0.000000000000000000,0)
(-0.967741935483870968,0.193548387096774191)
(-1.764705882352941177,0.705882352941176469)
(-2.307692307692307692,1.384615384615384615)
(-2.608695652173913044,2.086956521739130433)
(-2.727272727272727273,2.727272727272727272)
(-2.727272727272727273,3.272727272727272727)
(-2.658227848101265823,3.721518987341772151)
(-2.553191489361702128,4.085106382978723404)
(-2.432432432432432433,4.378378378378378378)
(-2.307692307692307693,4.615384615384615384)
(-2.185430463576158942,4.807947019867549668)
(-2.068965517241379312,4.965517241379310344)
(-1.959798994974874373,5.095477386934673366)
(-1.858407079646017700,5.203539823008849557)
(-1.764705882352941177,5.294117647058823529)
(-1.678321678321678322,5.370629370629370629)
(-1.598746081504702196,5.435736677115987460)
(-1.525423728813559323,5.491525423728813559)
(-1.457800511508951407,5.539641943734015345)
(-1.395348837209302326,5.581395348837209302)
(-1.337579617834394907,5.617834394904458598)
(-1.284046692607003893,5.649805447470817120)
(-1.234347048300536673,5.677996422182468694)
(-1.188118811881188120,5.702970297029702970)
(-1.145038167938931300,5.725190839694656488)
(-1.104815864022662891,5.745042492917847025)
(-1.067193675889328065,5.762845849802371541)
(-1.031941031941031944,5.778869778869778869)
(-0.998851894374282434,5.793340987370838117)
(-0.967741935483870970,5.806451612903225806)
(-0.938446014127144303,5.818365287588294651)
(-0.910815939278937386,5.829222011385199240)
(-0.884718498659517428,5.839142091152815013)
(-0.860033726812816190,5.848229342327150084)
(-0.836653386454183270,5.856573705179282868)
(-0.814479638009049774,5.864253393665158371)
(-0.793423874195854184,5.871336669049320943)
(-0.773405698778833111,5.877883310719131614)
(-0.754352030947775630,5.883945841392649903)
(-0.736196319018404913,5.889570552147239263)
(-0.718877849210987727,5.894798363530099357)
(-0.702341137123745826,5.899665551839464882)
(-0.686535391165513571,5.904204364023416711)
(-0.671414038657171927,5.908443540183112919)
(-0.656934306569343067,5.912408759124087591)
(-0.643056849953401680,5.916123019571295433)
(-0.629745422063421174,5.919606967396158999)
(-0.616966580976863760,5.922879177377892030)
(-0.604689428218839989,5.925956396544631838)
(-0.592885375494071150,5.928853754940711462)
(-0.581527936145952114,5.931584948688711516)
(-0.570592538405267014,5.934162399414776883)
(-0.560056357872490313,5.936597393448397323)
(-0.549898167006109980,5.938900203665987780)
(-0.540098199672667762,5.941080196399345335)
(-0.530638029058749210,5.943145925457991156)
(-0.521500457456541632,5.945105215004574565)
(-0.512669416617560402,5.946965232763700648)
(-0.504129877527769870,5.948732554827684420)
(-0.495867768595041330,5.950413223140495867)
(-0.487869901359637432,5.952012796587576646)
(-0.480123902942694895,5.953536396489416623)
(-0.472618154538634660,5.954988747186796699)
(-0.465341735336888032,5.956374212312166747)
(-0.458284371327849592,5.957696827262044653)
(-0.451436388508891929,5.958960328317373461)
(-0.444788670059747733,5.960168178800619606)
(-0.438332617103566831,5.961323592608508809)
(-0.432060112711333760,5.962429555416405760)
(-0.425963488843813398,5.963488843813387423)
(-0.420035495957404860,5.964504042595148885)
(-0.414269275028768700,5.965477560414269275)
(-0.408658331778316854,5.966411643963426012)
(-0.403196512895023622,5.967308390846349436)
(-0.397877984084880637,5.968169761273209549)
(-0.392697209782983131,5.968997588701343437)
(-0.387648934384963931,5.969793589528444369)
(-0.382728164867517183,5.970559371933267909)
(-0.377930154680274279,5.971296443948333599)
(-0.373250388802488346,5.972006220839813374)
(-0.368684569868001831,5.972690031861629494)
(-0.364228605270950552,5.973349126443588984)
(-0.359878595172712822,5.973984679867032808)
(-0.355630821337849288,5.974597798475867908)
(-0.351481736733287390,5.975189524465885596)
(-0.347427955830864537,5.975760840290869916)
(-0.343466245558626139,5.976312672720094749)
(-0.339593516851041948,5.976845896578338049)
(-0.335806816752609739,5.977361338196453276)
