100 0 200 2 300 4 400 8 500 12 600 18
700 2 800 2 900 4 1000 4 1100 4 1200 6 1300 6 1400 8
1500 8 1600 9 1700 12 1800 12 1900 16 2000 15 2100 18 2200 18 2300 21 2400 22
2500 27 2600 30 2700 28 2800 30 2900 32 3000 35 3100 44 3200 43 3300 48
3400 48 3500 50 3600 53 3700 52 3800 55 3900 59 4000 63 4100 64 4200 84
4300 72 4400 74 4500 85 4600 80 4700 92 4800 98 4900 99 5000 95 5100 106
5200 107 5300 122 5400 113 5500 122 5600 126 5700 132 5800 136 5900 136
6000 150 6100 150 6200 153 6300 158 6400 168 6500 164 6600 173 6700 190
6800 183 6900 198 7000 197 7100 202 7200 216 7300 211 7400 225 7500 223
7600 242 7700 235 7800 248 7900 248 8000 268 8100 255 8200 273 8300 272
8400 292 8500 289 8600 295 8700 306 8800 307 8900 323 9000 316 9100 335
9200 346 9300 359 9400 348 9500 367 9600 374 9700 375 9800 383 9900 404
