
# Curve 0 of 1, 200 points
# Curve title: "(105/(x*10))/10"
# x y type
0.00000 0.00000  u
0.02261 46.43333  i
0.04523 23.21667  i
0.06784 15.47778  i
0.09045 11.60833  i
0.11307 9.28667  i
0.13568 7.73889  i
0.15829 6.63333  i
0.18090 5.80417  i
0.20352 5.15926  i
0.22613 4.64333  i
0.24874 4.22121  i
0.27136 3.86944  i
0.29397 3.57179  i
0.31658 3.31667  i
0.33920 3.09556  i
0.36181 2.90208  i
0.38442 2.73137  i
0.40704 2.57963  i
0.42965 2.44386  i
0.45226 2.32167  i
0.47487 2.21111  i
0.49749 2.11061  i
0.52010 2.01884  i
0.54271 1.93472  i
0.56533 1.85733  i
0.58794 1.78590  i
0.61055 1.71975  i
0.63317 1.65833  i
0.65578 1.60115  i
0.67839 1.54778  i
0.70101 1.49785  i
0.72362 1.45104  i
0.74623 1.40707  i
0.76884 1.36569  i
0.79146 1.32667  i
0.81407 1.28981  i
0.83668 1.25495  i
0.85930 1.22193  i
0.88191 1.19060  i
0.90452 1.16083  i
0.92714 1.13252  i
0.94975 1.10556  i
0.97236 1.07984  i
0.99497 1.05530  i
1.01759 1.03185  i
1.04020 1.00942  i
1.06281 0.98794  i
1.08543 0.96736  i
1.10804 0.94762  i
1.13065 0.92867  i
1.15327 0.91046  i
1.17588 0.89295  i
1.19849 0.87610  i
1.22111 0.85988  i
1.24372 0.84424  i
1.26633 0.82917  i
1.28894 0.81462  i
1.31156 0.80057  i
1.33417 0.78701  i
1.35678 0.77389  i
1.37940 0.76120  i
1.40201 0.74892  i
1.42462 0.73704  i
1.44724 0.72552  i
1.46985 0.71436  i
1.49246 0.70354  i
1.51508 0.69303  i
1.53769 0.68284  i
1.56030 0.67295  i
1.58291 0.66333  i
1.60553 0.65399  i
1.62814 0.64491  i
1.65075 0.63607  i
1.67337 0.62748  i
1.69598 0.61911  i
1.71859 0.61096  i
1.74121 0.60303  i
1.76382 0.59530  i
1.78643 0.58776  i
1.80905 0.58042  i
1.83166 0.57325  i
1.85427 0.56626  i
1.87688 0.55944  i
1.89950 0.55278  i
1.92211 0.54627  i
1.94472 0.53992  i
1.96734 0.53372  i
1.98995 0.52765  i
2.01256 0.52172  i
2.03518 0.51593  i
2.05779 0.51026  i
2.08040 0.50471  i
2.10302 0.49928  i
2.12563 0.49397  i
2.14824 0.48877  i
2.17085 0.48368  i
2.19347 0.47869  i
2.21608 0.47381  i
2.23869 0.46902  i
2.26131 0.46433  i
2.28392 0.45974  i
2.30653 0.45523  i
2.32915 0.45081  i
2.35176 0.44647  i
2.37437 0.44222  i
2.39698 0.43805  i
2.41960 0.43396  i
2.44221 0.42994  i
2.46482 0.42599  i
2.48744 0.42212  i
2.51005 0.41832  i
2.53266 0.41458  i
2.55528 0.41091  i
2.57789 0.40731  i
2.60050 0.40377  i
2.62312 0.40029  i
2.64573 0.39687  i
2.66834 0.39350  i
2.69095 0.39020  i
2.71357 0.38694  i
2.73618 0.38375  i
2.75879 0.38060  i
2.78141 0.37751  i
2.80402 0.37446  i
2.82663 0.37147  i
2.84925 0.36852  i
2.87186 0.36562  i
2.89447 0.36276  i
2.91709 0.35995  i
2.93970 0.35718  i
2.96231 0.35445  i
2.98492 0.35177  i
3.00754 0.34912  i
3.03015 0.34652  i
3.05276 0.34395  i
3.07538 0.34142  i
3.09799 0.33893  i
3.12060 0.33647  i
3.14322 0.33405  i
3.16583 0.33167  i
3.18844 0.32931  i
3.21106 0.32700  i
3.23367 0.32471  i
3.25628 0.32245  i
3.27889 0.32023  i
3.30151 0.31804  i
3.32412 0.31587  i
3.34673 0.31374  i
3.36935 0.31163  i
3.39196 0.30956  i
3.41457 0.30751  i
3.43719 0.30548  i
3.45980 0.30349  i
3.48241 0.30152  i
3.50503 0.29957  i
3.52764 0.29765  i
3.55025 0.29575  i
3.57286 0.29388  i
3.59548 0.29203  i
3.61809 0.29021  i
3.64070 0.28841  i
3.66332 0.28663  i
3.68593 0.28487  i
3.70854 0.28313  i
3.73116 0.28141  i
3.75377 0.27972  i
3.77638 0.27804  i
3.79899 0.27639  i
3.82161 0.27475  i
3.84422 0.27314  i
3.86683 0.27154  i
3.88945 0.26996  i
3.91206 0.26840  i
3.93467 0.26686  i
3.95729 0.26533  i
3.97990 0.26383  i
4.00251 0.26234  i
4.02513 0.26086  i
4.04774 0.25940  i
4.07035 0.25796  i
4.09296 0.25654  i
4.11558 0.25513  i
4.13819 0.25373  i
4.16080 0.25236  i
4.18342 0.25099  i
4.20603 0.24964  i
4.22864 0.24831  i
4.25126 0.24699  i
4.27387 0.24568  i
4.29648 0.24439  i
4.31910 0.24311  i
4.34171 0.24184  i
4.36432 0.24059  i
4.38693 0.23935  i
4.40955 0.23812  i
4.43216 0.23690  i
4.45477 0.23570  i
4.47739 0.23451  i
4.50000 0.23333  i

